playerID,year,stint,tmID,GP,GS,minutes,points,rebounds,assists,steals,blocks,turnovers,PF,fgMade,ftMade,threeAttempted,threeMade,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ,TSht,AstTO,RebP,ORebP,DRebP,StlR,BlkR,PPG,num_awards,MIN,PTS,ORB,DRB,AST,STL,BLK,TO,FGM,FGA,FTM,FTA,uPER,PER
atkinla01w,7,0,IND,33,1,417,99,76,22,18,5,34,0,38,18,17,5,0,2,0,29,6,10,7,17,3,1,2,2,2,9,2,4,2,0,0,0,0.475,0.647,0.182,0.06,0.122,0.043,0.012,3.0,0.0,417,99,0,0,22,18,5,34,0,0,0,0,0.26378896249906564,11.165408748839212
atkinla01w,8,0,SAC,28,0,226,58,44,15,10,5,33,0,22,14,2,0,0,2,0,7,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0.524,0.455,0.195,0.058,0.137,0.044,0.022,2.071,0.0,226,58,0,0,15,10,5,33,0,0,0,0,0.24336282109014065,10.30083042898989
atkinla01w,9,0,SAC,5,1,73,14,14,8,5,2,10,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394,0.8,0.192,0.041,0.151,0.068,0.027,2.8,0.0,73,14,0,0,8,5,2,10,0,0,0,0,0.26027393694877576,11.016628084706083
atkinla01w,10,0,SEA,2,1,46,5,18,5,10,1,4,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282,1.25,0.391,0.13,0.261,0.217,0.022,2.5,0.0,46,5,0,0,5,10,1,4,0,0,0,0,0.36956513705105715,15.642602235529289
atunrmo01w,9,0,SAS,33,0,348,71,48,23,16,13,26,0,24,11,41,12,0,8,0,44,10,0,7,7,4,1,1,1,4,8,4,2,0,4,2,0,0.377,0.885,0.138,0.046,0.092,0.046,0.037,2.152,0.0,348,71,0,0,23,16,13,26,0,0,0,0,0.2787356241742637,11.798056853040261
augusse01w,7,0,MIN,34,34,1124,744,128,50,21,18,71,0,283,148,85,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.537,0.704,0.114,0.013,0.101,0.019,0.016,21.882,1.0,1124,744,0,0,50,21,18,71,0,0,0,0,0.6779359370290398,28.695028672715452
augusse01w,8,0,MIN,34,34,1093,769,136,79,41,21,83,0,296,151,62,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583,0.952,0.124,0.034,0.091,0.038,0.019,22.618,0.0,1093,769,0,0,79,41,21,83,0,0,0,0,0.7566331129310786,32.02604801484837
augusse01w,9,0,MIN,31,31,1042,591,120,83,32,12,52,0,233,105,63,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.539,1.596,0.115,0.027,0.088,0.031,0.012,19.065,0.0,1042,591,0,0,83,32,12,52,0,0,0,0,0.6391554641155905,27.053565635559444
augusse01w,10,0,MIN,6,6,178,126,25,9,12,3,13,0,49,19,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.661,0.692,0.14,0.022,0.118,0.067,0.017,21.0,0.0,178,126,0,0,9,12,3,13,0,0,0,0,0.769662878108827,32.57755954411286
aycocan01w,1,2,MIN,3,0,6,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,6,0,0,0,4,0,0,0,0,0,0,0,0.6666655555574075,28.21798666650731
